ma_truong,ten_truong,ma_nganh,ten_nganh,ma_to_hop,nam,diem_chuan,chi_tieu,phuong_thuc
TYS,Đại học Y khoa Phạm Ngọc Thạch,7720301,Điều dưỡng,B00,2024,23.57,,THPT
TYS,Đại học Y khoa Phạm Ngọc Thạch,7720301,Điều dưỡng,B03,2024,23.57,,THPT
TYS,Đại học Y khoa Phạm Ngọc Thạch,7720401,Dinh dưỡng,B00,2024,23.2,,THPT
TYS,Đại học Y khoa Phạm Ngọc Thạch,7720201,Dược học,B00,2024,25.51,,THPT
TYS,Đại học Y khoa Phạm Ngọc Thạch,7720302,Hộ sinh,B00,2024,22.4,,THPT
TYS,Đại học Y khoa Phạm Ngọc Thạch,7720699,Khúc xạ nhãn khoa,A00,2024,24.06,,THPT
TYS,Đại học Y khoa Phạm Ngọc Thạch,7720699,Khúc xạ nhãn khoa,B00,2024,24.06,,THPT
TYS,Đại học Y khoa Phạm Ngọc Thạch,7720601,Kỹ thuật xét nghiệm y học,B00,2024,24.9,,THPT
TYS,Đại học Y khoa Phạm Ngọc Thạch,7720603,Kỹ thuật phục hồi chức năng,B00,2024,24.01,,THPT
TYS,Đại học Y khoa Phạm Ngọc Thạch,7720602,Kỹ thuật hình ảnh y học,A00,2024,24.1,,THPT
TYS,Đại học Y khoa Phạm Ngọc Thạch,7720602,Kỹ thuật hình ảnh y học,B00,2024,24.1,,THPT
TYS,Đại học Y khoa Phạm Ngọc Thạch,7720501,Răng- Hàm -Mặt,B00,2024,26.49,,THPT
TYS,Đại học Y khoa Phạm Ngọc Thạch,7720101,Y khoa,B00,2024,26.57,,THPT
TYS,Đại học Y khoa Phạm Ngọc Thạch,7720115,Y học cổ truyền,B00,2024,24.6,,THPT
TYS,Đại học Y khoa Phạm Ngọc Thạch,7720701,Y tế công cộng,A00,2024,21.35,,THPT
TYS,Đại học Y khoa Phạm Ngọc Thạch,7720701,Y tế công cộng,B00,2024,21.35,,THPT
TYS,Đại học Y khoa Phạm Ngọc Thạch,7720701,Y tế công cộng,B03,2024,21.35,,THPT
KTS,Đại học Kiến trúc TP HCM,7580101CLC,Kiến trúc (Chất lượng cao),V00,2024,23.68,,THPT
KTS,Đại học Kiến trúc TP HCM,7580101CLC,Kiến trúc (Chất lượng cao),V01,2024,23.68,,THPT
KTS,Đại học Kiến trúc TP HCM,7580101CLC,Kiến trúc (Chất lượng cao),V02,2024,23.68,,THPT
KTS,Đại học Kiến trúc TP HCM,7580102,Kiến trúc cảnh quan,V00,2024,23.4,,THPT
KTS,Đại học Kiến trúc TP HCM,7580102,Kiến trúc cảnh quan,V01,2024,23.4,,THPT
KTS,Đại học Kiến trúc TP HCM,7580102,Kiến trúc cảnh quan,V02,2024,23.4,,THPT
KTS,Đại học Kiến trúc TP HCM,7580101,Kiến trúc,V00,2024,24.09,,THPT
KTS,Đại học Kiến trúc TP HCM,7580101,Kiến trúc,V01,2024,24.09,,THPT
KTS,Đại học Kiến trúc TP HCM,7580101,Kiến trúc,V02,2024,24.09,,THPT
KTS,Đại học Kiến trúc TP HCM,7580101CT,Kiến trúc,V00,2024,22.78,,THPT
KTS,Đại học Kiến trúc TP HCM,7580101CT,Kiến trúc,V01,2024,22.78,,THPT
KTS,Đại học Kiến trúc TP HCM,7580101CT,Kiến trúc,V02,2024,22.78,,THPT
KTS,Đại học Kiến trúc TP HCM,7580101DL,Kiến trúc,V00,2024,22.15,,THPT
KTS,Đại học Kiến trúc TP HCM,7580101DL,Kiến trúc,V01,2024,22.15,,THPT
KTS,Đại học Kiến trúc TP HCM,7580101DL,Kiến trúc,V02,2024,22.15,,THPT
KTS,Đại học Kiến trúc TP HCM,7580201DL,Kỹ thuật xây dựng,A00,2024,15.95,,THPT
KTS,Đại học Kiến trúc TP HCM,7580201DL,Kỹ thuật xây dựng,A01,2024,15.95,,THPT
KTS,Đại học Kiến trúc TP HCM,7580201DL,Kỹ thuật xây dựng,C01,2024,15.95,,THPT
KTS,Đại học Kiến trúc TP HCM,7580201DL,Kỹ thuật xây dựng,C02,2024,15.95,,THPT
KTS,Đại học Kiến trúc TP HCM,7580201CLC,Kỹ thuật xây dựng ( Chất lượng cao),A00,2024,21.2,,THPT
KTS,Đại học Kiến trúc TP HCM,7580201CLC,Kỹ thuật xây dựng ( Chất lượng cao),A01,2024,21.2,,THPT
KTS,Đại học Kiến trúc TP HCM,7580201CLC,Kỹ thuật xây dựng ( Chất lượng cao),C01,2024,21.2,,THPT
KTS,Đại học Kiến trúc TP HCM,7580201CLC,Kỹ thuật xây dựng ( Chất lượng cao),C02,2024,21.2,,THPT
KTS,Đại học Kiến trúc TP HCM,7580201CT,Kỹ thuật xây dựng,A00,2024,17.35,,THPT
KTS,Đại học Kiến trúc TP HCM,7580201CT,Kỹ thuật xây dựng,A01,2024,17.35,,THPT
KTS,Đại học Kiến trúc TP HCM,7580201CT,Kỹ thuật xây dựng,C01,2024,17.35,,THPT
KTS,Đại học Kiến trúc TP HCM,7580201CT,Kỹ thuật xây dựng,C02,2024,17.35,,THPT
KTS,Đại học Kiến trúc TP HCM,7580210,Kỹ thuật cơ sở hạ tầng,A00,2024,18.8,,THPT
KTS,Đại học Kiến trúc TP HCM,7580210,Kỹ thuật cơ sở hạ tầng,A01,2024,18.8,,THPT
KTS,Đại học Kiến trúc TP HCM,7580210,Kỹ thuật cơ sở hạ tầng,C01,2024,18.8,,THPT
KTS,Đại học Kiến trúc TP HCM,7580210,Kỹ thuật cơ sở hạ tầng,D01,2024,18.8,,THPT
KTS,Đại học Kiến trúc TP HCM,7580201,Kỹ thuật xây dựng,A00,2024,21.2,,THPT
KTS,Đại học Kiến trúc TP HCM,7580201,Kỹ thuật xây dựng,A01,2024,21.2,,THPT
KTS,Đại học Kiến trúc TP HCM,7580201,Kỹ thuật xây dựng,C01,2024,21.2,,THPT
KTS,Đại học Kiến trúc TP HCM,7580201,Kỹ thuật xây dựng,C02,2024,21.2,,THPT
