Mã trường,Tên trường,Mã ngành,Tên ngành,Tổ hợp môn,Điểm thi THPT,Ghi chú
DKH,Đại học Dược Hà Nội,7420201,Công nghệ sinh học,B00,24.21,
DKH,Đại học Dược Hà Nội,7720201,Dược học,A00,25,
DKH,Đại học Dược Hà Nội,7440112,Hóa học,A00,23.81,
DKH,Đại học Dược Hà Nội,7720203,Hoá dược,A00,24.9,
SGD,Đại học Sài Gòn,7510301,"Công nghệ kỹ thuật điện, điện tử",A01,22.15,
SGD,Đại học Sài Gòn,7480201CLC,Công nghệ thông tin (chương trình chất lượng cao),A00 | A01,21.8,
SGD,Đại học Sài Gòn,7510301,"Công nghệ kỹ thuật điện, điện tử",A00,23.15,
SGD,Đại học Sài Gòn,7510406,Công nghệ kỹ thuật Môi trường,B00,19.26,
SGD,Đại học Sài Gòn,7480201,Công nghệ thông tin,A00 | A01,23.68,
SGD,Đại học Sài Gòn,7510406,Công nghệ kỹ thuật Môi trường,A00,18.26,
SGD,Đại học Sài Gòn,7460112,ĐH Toán ứng dụng,A01,22.3,
SGD,Đại học Sài Gòn,7460112,ĐH Toán ứng dụng,A00,23.3,
SGD,Đại học Sài Gòn,7510302,Điện tử - viễn thông,A01,21.8,
SGD,Đại học Sài Gòn,7510302,Điện tử - viễn thông,A00,22.8,
SGD,Đại học Sài Gòn,7810101,Du lịch,C00 | D01,23.01,
SGD,Đại học Sài Gòn,7140205,Giáo dục Chính trị,C00 | C19,25.33,
SGD,Đại học Sài Gòn,7140202,Giáo dục Tiểu học,D01,24.11,
SGD,Đại học Sài Gòn,7140201,Giáo dục Mầm non,M01 | M02,20.8,
SGD,Đại học Sài Gòn,7340301,Kế toán,D01,22.29,
SGD,Đại học Sài Gòn,7340301,Kế toán,C01,23.29,
SGD,Đại học Sài Gòn,7440301,Khoa học môi trường,B00,18.91,
SGD,Đại học Sài Gòn,7440301,Khoa học môi trường,A00,17.91,
SGD,Đại học Sài Gòn,7520201,Kỹ thuật điện,A00,21.61,
SGD,Đại học Sài Gòn,7520201,Kỹ thuật điện,A01,20.61,
SGD,Đại học Sài Gòn,7480103,Kỹ thuật phần mềm,A00 | A01,24.21,
SGD,Đại học Sài Gòn,7520207,Ngành Kỹ thuật điện tử truyền thông,A00,21.66,
SGD,Đại học Sài Gòn,7380101,Ngành Luật,D01,22.87,
SGD,Đại học Sài Gòn,7340120,Ngành Kinh doanh quốc tế,A01,24.98,
SGD,Đại học Sài Gòn,7340120,Ngành Kinh doanh quốc tế,D01,23.98,
SGD,Đại học Sài Gòn,7520207,Ngành Kỹ thuật điện tử truyền thông,A01,20.66,
SGD,Đại học Sài Gòn,7380101,Ngành Luật,C03,23.87,
SGD,Đại học Sài Gòn,7220201,Ngôn ngữ Anh,D01,24.58,
SGD,Đại học Sài Gòn,7340101,Quản trị Kinh doanh,A01,23.85,
SGD,Đại học Sài Gòn,7140114,Quản lý giáo dục,C04,23.39,
SGD,Đại học Sài Gòn,7340101,Quản trị Kinh doanh,D01,22.85,
SGD,Đại học Sài Gòn,7140114,Quản lý giáo dục,D01,22.39,
SGD,Đại học Sài Gòn,7340406,Quản trị văn phòng,D01,23.16,
SGD,Đại học Sài Gòn,7340406,Quản trị văn phòng,C04,24.16,
SGD,Đại học Sài Gòn,7310601,Quốc tế học,D01,22.7,
SGD,Đại học Sài Gòn,7140218,Sư phạm Lịch sử,C00,25.66,
SGD,Đại học Sài Gòn,7140247,Sư phạm khoa học tự nhiên,A00 | B00,24.25,
SGD,Đại học Sài Gòn,7140213,Sư phạm Sinh học,B00,23.82,
SGD,Đại học Sài Gòn,7140231,Sư phạm Tiếng Anh,D01,26.15,
SGD,Đại học Sài Gòn,7140212,Sư phạm Hóa học,A00,25.28,
SGD,Đại học Sài Gòn,7140221,Sư phạm Âm nhạc,N01,23.01,
SGD,Đại học Sài Gòn,7140209,Sư phạm Toán học,A01,25.31,
SGD,Đại học Sài Gòn,7140249,Sư phạm Lịch sử - Địa lý,C00,24.21,
SGD,Đại học Sài Gòn,7140219,Sư phạm Địa lý,C00 | C04,23.45,
SGD,Đại học Sài Gòn,7140209,Sư phạm Toán học,A00,26.31,
SGD,Đại học Sài Gòn,7140217,Sư phạm Ngữ văn,C00,25.81,
SGD,Đại học Sài Gòn,7140222,Sư phạm Mỹ thuật,H00,21.26,
SGD,Đại học Sài Gòn,7140211,Sư phạm Vật lý,A00,24.61,
SGD,Đại học Sài Gòn,7340201,Tài chính – Ngân hàng,C01,23.46,
SGD,Đại học Sài Gòn,7340201,Tài chính – Ngân hàng,D01,22.46,
SGD,Đại học Sài Gòn,7310401,Tâm lý học,D01,23.8,
SGD,Đại học Sài Gòn,7320201,Thông tin - thư viện,C04 | D01,21.36,
SGD,Đại học Sài Gòn,7310630D,Việt Nam học,C00,22.2,
BVS,Học viện Công nghệ Bưu chính Viễn thông (phía Nam),7480202,An toàn thông tin,A00 | A01,24.44,
BVS,Học viện Công nghệ Bưu chính Viễn thông (phía Nam),7329001,Công nghệ đa phương tiện,A00 | A01 | D01,24.05,
BVS,Học viện Công nghệ Bưu chính Viễn thông (phía Nam),7340205,Công nghệ tài chính,A00 | A01 | D01,25.35,
BVS,Học viện Công nghệ Bưu chính Viễn thông (phía Nam),7510301,"Công nghệ kỹ thuật điện, điện tử",A00 | A01,18.15,
BVS,Học viện Công nghệ Bưu chính Viễn thông (phía Nam),7480201,Công nghệ thông tin,A00 | A01,25.1,
BVS,Học viện Công nghệ Bưu chính Viễn thông (phía Nam),7340301,Kế toán,A00 | A01 | D01,20,
BVS,Học viện Công nghệ Bưu chính Viễn thông (phía Nam),7340301,Kế toán,A00 | A01 | D01,25.05,
BVS,Học viện Công nghệ Bưu chính Viễn thông (phía Nam),7520208 (trước 2023),Kỹ thuật điện và công nghệ thông tin,A00 | A01,21.7,
BVS,Học viện Công nghệ Bưu chính Viễn thông (phía Nam),7340115,Marketing,A00 | A01 | D01,24.1,
BVS,Học viện Công nghệ Bưu chính Viễn thông (phía Nam),7340115,Marketing,A00 | A01 | D01,25.8,
BVS,Học viện Công nghệ Bưu chính Viễn thông (phía Nam),7520207,Ngành Kỹ thuật điện tử truyền thông,A00 | A01,21.9,
BVS,Học viện Công nghệ Bưu chính Viễn thông (phía Nam),7520216,Ngành Kỹ thuật điều khiển & Tự động hóa,A00 | A01,18,
BVS,Học viện Công nghệ Bưu chính Viễn thông (phía Nam),7340101,Quản trị Kinh doanh,A00 | A01 | D01,22.8,
BVS,Học viện Công nghệ Bưu chính Viễn thông (phía Nam),7340122,Thương mại điện tử,A00 | A01 | D01,26.2,
TBD,Đại học Thái Bình Dương,7480201,Công nghệ thông tin,A00,15,
TBD,Đại học Thái Bình Dương,7310608,Đông phương học,C00,15,
TBD,Đại học Thái Bình Dương,7810101,Du lịch,A01,15,
TBD,Đại học Thái Bình Dương,7340301,Kế toán,A00,15,
TBD,Đại học Thái Bình Dương,7510605,Logistics và Quản lý chuỗi cung ứng,A00,15,
TBD,Đại học Thái Bình Dương,7340115,Marketing,A00,15,
TBD,Đại học Thái Bình Dương,7340120,Ngành Kinh doanh quốc tế,A00,15,
TBD,Đại học Thái Bình Dương,7380101,Ngành Luật,A00,15,
TBD,Đại học Thái Bình Dương,7220201,Ngôn ngữ Anh,D01,15,
TBD,Đại học Thái Bình Dương,7810201,Quản trị khách sạn,A01,15,
TBD,Đại học Thái Bình Dương,7340101,Quản trị Kinh doanh,A00,15,
TBD,Đại học Thái Bình Dương,7340201,Tài chính – Ngân hàng,A00,15,
TBD,Đại học Thái Bình Dương,7480207,Trí tuệ nhân tạo,A00,15,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX01,Báo chí,D01 | D04,26,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX01,Báo chí,C00,28.5,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX01,Báo chí,D78,26.5,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX01,Báo chí,A01,25.5,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX02,Chính trị hoc,D78,24.6,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX02,Chính trị hoc,A01,23,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX02,Chính trị hoc,D01,24,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX02,Chính trị hoc,C00,26.25,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX02,Chính trị hoc,D04,24.7,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX03,Công tác xã hội,A01,23.75,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX03,Công tác xã hội,D78,25,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX03,Công tác xã hội,D01,24.8,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX03,Công tác xã hội,C00,26.3,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX03,Công tác xã hội,D04,24,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX04,Đông Nam Á học,A01,22.75,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX04,Đông Nam Á học,D78,25.1,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX05,Đông phương học,D78,26.5,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX04,Đông Nam Á học,D01,24.75,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX05,Đông phương học,D01,25.55,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX05,Đông phương học,C00,28.5,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX05,Đông phương học,D04,25.5,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX06,Hán Nôm,D04,25,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX26,Hàn Quốc học,A01,24.75,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX06,Hán Nôm,D01,24.15,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX26,Hàn Quốc học,D78,26.5,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX26,Hàn Quốc học,D01,26.25,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX06,Hán Nôm,D78,24.5,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX26,Hàn Quốc học,C00,28.25,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX06,Hán Nôm,C00,25.75,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX07,Khoa học quản lý,D01 | D04 | D78,25.25,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX07,Khoa học quản lý,A01,23.5,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX07,Khoa học quản lý,C00,27,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX08,Lich sử,C00,27,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX08,Lich sử,D04,23.4,
QHX,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX08,Lich sử,D01,24.25,
